,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,-54.0,-9.0,-54.0,-54.0,-44.0,-54.0,-42.0,-54.0,-44.0,-54.0,0.0,-54.0,-40.0,-54.0,-40.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-11.0,-54.0,-38.0,-40.0,-54.0,-46.0,-25.0,-18.0,-3.0,-47.0,-54.0,-54.0,-37.0,-54.0,-54.0,-28.0,-54.0,-54.0,-54.0,-36.0,-54.0,-49.0,-54.0,-50.0,-48.0,-54.0,-54.0,-54.0,-54.0,-54.0,-39.0,-35.0,-54.0,-16.0,-54.0,-54.0,-41.0,-38.0,-16.0,-54.0,-54.0,-54.0,-41.0,-54.0,-54.0,-16.0,-22.0,-34.0,-25.0,-54.0,-54.0,-22.0,-54.0,-54.0,-54.0,-54.0,-54.0,-40.0,-48.0,-34.0,-54.0,-33.0,-54.0,-16.0,-54.0,-54.0,-51.0,-54.0,-54.0,-54.0,-43.0,-54.0,-54.0,-54.0,-34.0,-23.0,-54.0,-40.0
11,-123.0,-9.0,-82.0,-93.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,0.0,-40.0,-83.0,-40.0,-84.0,-117.0,-72.0,-84.0,-66.0,-56.0,-90.0,-11.0,-93.0,-38.0,-40.0,-94.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-88.0,-123.0,-110.0,-36.0,-57.0,-49.0,-95.0,-50.0,-48.0,-117.0,-67.0,-84.0,-64.0,-64.0,-39.0,-35.0,-123.0,-16.0,-123.0,-86.0,-41.0,-38.0,-16.0,-57.0,-103.0,-63.0,-41.0,-71.0,-84.0,-16.0,-22.0,-34.0,-25.0,-123.0,-72.0,-22.0,-99.0,-63.0,-123.0,-85.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-117.0,-16.0,-99.0,-83.0,-51.0,-106.0,-60.0,-83.0,-43.0,-123.0,-70.0,-96.0,-34.0,-23.0,-66.0,-40.0
12,-40.0,-9.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,0.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-11.0,-40.0,-38.0,-40.0,-40.0,-40.0,-25.0,-18.0,-3.0,-40.0,-40.0,-40.0,-37.0,-40.0,-40.0,-28.0,-40.0,-40.0,-40.0,-36.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-39.0,-35.0,-40.0,-16.0,-40.0,-40.0,-40.0,-38.0,-16.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-16.0,-22.0,-34.0,-25.0,-40.0,-40.0,-22.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-34.0,-40.0,-33.0,-40.0,-16.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-34.0,-23.0,-40.0,-40.0
13,-83.0,-9.0,-82.0,-83.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,-83.0,-40.0,0.0,-40.0,-83.0,-83.0,-72.0,-83.0,-66.0,-56.0,-83.0,-11.0,-83.0,-38.0,-40.0,-83.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-83.0,-83.0,-83.0,-36.0,-57.0,-49.0,-83.0,-50.0,-48.0,-83.0,-67.0,-83.0,-64.0,-64.0,-39.0,-35.0,-83.0,-16.0,-83.0,-83.0,-41.0,-38.0,-16.0,-57.0,-83.0,-63.0,-41.0,-71.0,-83.0,-16.0,-22.0,-34.0,-25.0,-83.0,-72.0,-22.0,-83.0,-63.0,-83.0,-83.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-83.0,-16.0,-83.0,-83.0,-51.0,-83.0,-60.0,-83.0,-43.0,-83.0,-70.0,-83.0,-34.0,-23.0,-66.0,-40.0
14,-40.0,-9.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,0.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-11.0,-40.0,-38.0,-40.0,-40.0,-40.0,-25.0,-18.0,-3.0,-40.0,-40.0,-40.0,-37.0,-40.0,-40.0,-28.0,-40.0,-40.0,-40.0,-36.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-39.0,-35.0,-40.0,-16.0,-40.0,-40.0,-40.0,-38.0,-16.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-16.0,-22.0,-34.0,-25.0,-40.0,-40.0,-22.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-34.0,-40.0,-33.0,-40.0,-16.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-34.0,-23.0,-40.0,-40.0
15,-84.0,-9.0,-82.0,-84.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,-84.0,-40.0,-83.0,-40.0,0.0,-84.0,-72.0,-84.0,-66.0,-56.0,-84.0,-11.0,-84.0,-38.0,-40.0,-84.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-84.0,-84.0,-84.0,-36.0,-57.0,-49.0,-84.0,-50.0,-48.0,-84.0,-67.0,-84.0,-64.0,-64.0,-39.0,-35.0,-84.0,-16.0,-84.0,-84.0,-41.0,-38.0,-16.0,-57.0,-84.0,-63.0,-41.0,-71.0,-84.0,-16.0,-22.0,-34.0,-25.0,-84.0,-72.0,-22.0,-84.0,-63.0,-84.0,-84.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-84.0,-16.0,-84.0,-83.0,-51.0,-84.0,-60.0,-83.0,-43.0,-84.0,-70.0,-84.0,-34.0,-23.0,-66.0,-40.0
16,-117.0,-9.0,-82.0,-93.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,-117.0,-40.0,-83.0,-40.0,-84.0,0.0,-72.0,-84.0,-66.0,-56.0,-90.0,-11.0,-93.0,-38.0,-40.0,-94.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-88.0,-117.0,-110.0,-36.0,-57.0,-49.0,-95.0,-50.0,-48.0,-117.0,-67.0,-84.0,-64.0,-64.0,-39.0,-35.0,-117.0,-16.0,-117.0,-86.0,-41.0,-38.0,-16.0,-57.0,-103.0,-63.0,-41.0,-71.0,-84.0,-16.0,-22.0,-34.0,-25.0,-117.0,-72.0,-22.0,-99.0,-63.0,-117.0,-85.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-117.0,-16.0,-99.0,-83.0,-51.0,-106.0,-60.0,-83.0,-43.0,-117.0,-70.0,-96.0,-34.0,-23.0,-66.0,-40.0
17,-72.0,-9.0,-72.0,-72.0,-44.0,-61.0,-42.0,-60.0,-44.0,-72.0,-54.0,-72.0,-40.0,-72.0,-40.0,-72.0,-72.0,0.0,-72.0,-66.0,-56.0,-72.0,-11.0,-72.0,-38.0,-40.0,-72.0,-46.0,-25.0,-18.0,-3.0,-47.0,-72.0,-57.0,-37.0,-57.0,-72.0,-28.0,-72.0,-72.0,-72.0,-36.0,-57.0,-49.0,-72.0,-50.0,-48.0,-72.0,-67.0,-72.0,-64.0,-64.0,-39.0,-35.0,-72.0,-16.0,-72.0,-72.0,-41.0,-38.0,-16.0,-57.0,-72.0,-63.0,-41.0,-71.0,-72.0,-16.0,-22.0,-34.0,-25.0,-72.0,-72.0,-22.0,-72.0,-63.0,-72.0,-72.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-72.0,-16.0,-72.0,-72.0,-51.0,-72.0,-60.0,-72.0,-43.0,-72.0,-70.0,-72.0,-34.0,-23.0,-66.0,-40.0
18,-84.0,-9.0,-82.0,-84.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,-84.0,-40.0,-83.0,-40.0,-84.0,-84.0,-72.0,0.0,-66.0,-56.0,-84.0,-11.0,-84.0,-38.0,-40.0,-84.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-84.0,-84.0,-84.0,-36.0,-57.0,-49.0,-84.0,-50.0,-48.0,-84.0,-67.0,-84.0,-64.0,-64.0,-39.0,-35.0,-84.0,-16.0,-84.0,-84.0,-41.0,-38.0,-16.0,-57.0,-84.0,-63.0,-41.0,-71.0,-84.0,-16.0,-22.0,-34.0,-25.0,-84.0,-72.0,-22.0,-84.0,-63.0,-84.0,-84.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-84.0,-16.0,-84.0,-83.0,-51.0,-84.0,-60.0,-83.0,-43.0,-84.0,-70.0,-84.0,-34.0,-23.0,-66.0,-40.0
19,-66.0,-9.0,-66.0,-66.0,-44.0,-61.0,-42.0,-60.0,-44.0,-66.0,-54.0,-66.0,-40.0,-66.0,-40.0,-66.0,-66.0,-66.0,-66.0,0.0,-56.0,-66.0,-11.0,-66.0,-38.0,-40.0,-66.0,-46.0,-25.0,-18.0,-3.0,-47.0,-66.0,-57.0,-37.0,-57.0,-66.0,-28.0,-66.0,-66.0,-66.0,-36.0,-57.0,-49.0,-66.0,-50.0,-48.0,-66.0,-66.0,-66.0,-64.0,-64.0,-39.0,-35.0,-66.0,-16.0,-66.0,-66.0,-41.0,-38.0,-16.0,-57.0,-66.0,-63.0,-41.0,-66.0,-66.0,-16.0,-22.0,-34.0,-25.0,-66.0,-66.0,-22.0,-66.0,-63.0,-66.0,-66.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-66.0,-16.0,-66.0,-66.0,-51.0,-66.0,-60.0,-66.0,-43.0,-66.0,-66.0,-66.0,-34.0,-23.0,-66.0,-40.0
